UI_VR_RECENTRE	{Recentre VR View}
The same action will holster the Multi-Tool if equipped}
UI_VR_HINT_SMOOTHMOVE_EARLY	{To <STELLAR>repair the Scanner<>, first <STELLAR>move<> to find resources
Hold down <IMG>VR_TELEPORT<> to enter Movement Mode
Use your <STELLAR>left hand<> to point in the direction you wish to move}
UI_VR_HINT_SMOOTHMOVE	{Hold down <IMG>VR_TELEPORT<> to enter Movement Mode
Use your <STELLAR>left hand<> to point in the direction you wish to move}
UI_VR_HINT_TELEPORT1_1	{Hold down <IMG>VR_TELEPORT<> to enter Teleport Mode
<TECHNOLOGY>Teleport<>: 0 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_2	{Hold down <IMG>VR_TELEPORT<> to enter Teleport Mode
<TECHNOLOGY>Teleport<>: 1 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_3	{Hold down <IMG>VR_TELEPORT<> to enter Teleport Mode
<TECHNOLOGY>Teleport<>: 2 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_EARLY_1	{To <STELLAR>repair the Scanner<>, first <STELLAR>move<> to find resources
Hold down <IMG>VR_TELEPORT<> to enter Movement Mode
<TECHNOLOGY>Teleport<>: 0 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_EARLY_2	{Hold down <IMG>VR_TELEPORT<> to enter Movement Mode
<TECHNOLOGY>Teleport<>: 1 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_EARLY_3	{Hold down <IMG>VR_TELEPORT<> to enter Movement Mode
<TECHNOLOGY>Teleport<>: 2 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_ALT1	{Push forward on <IMG>VR_TELEPORT<> to enter Teleport Mode
<TECHNOLOGY>Teleport<>: 0 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_ALT2	{Push forward on <IMG>VR_TELEPORT<> to enter Teleport Mode
<TECHNOLOGY>Teleport<>: 1 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_ALT3	{Push forward on <IMG>VR_TELEPORT<> to enter Teleport Mode
<TECHNOLOGY>Teleport<>: 2 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_EARLY_ALT1	{To <STELLAR>repair the Scanner<>, first <STELLAR>move<> to find resources
Push forward on <IMG>VR_TELEPORT<> to enter Teleport Mode
<TECHNOLOGY>Teleport<>: 0 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_EARLY_ALT2	{Push forward on <IMG>VR_TELEPORT<> to enter Teleport Mode
<TECHNOLOGY>Teleport<>: 1 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT1_EARLY_ALT3	{Push forward on <IMG>VR_TELEPORT<> to enter Teleport Mode
<TECHNOLOGY>Teleport<>: 2 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT2_1	{Aim at a new position with your <STELLAR>left<> hand
Use your <STELLAR>right<> hand to choose your direction
Release <IMG>VR_TELEPORT<> to teleport to the new location
<TECHNOLOGY>Teleport<>: 0 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT2_2	{Aim at a new position with your <STELLAR>left<> hand
Use your <STELLAR>right<> hand to choose your direction
Release <IMG>VR_TELEPORT<> to teleport to the new location
<TECHNOLOGY>Teleport<>: 1 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT2_3	{Aim at a new position with your <STELLAR>left<> hand
Use your <STELLAR>right<> hand to choose your direction
Release <IMG>VR_TELEPORT<> to teleport to the new location
<TECHNOLOGY>Teleport<>: 2 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT2_4	{Aim at a new position with your <STELLAR>left<> hand
Use your <STELLAR>right<> hand to choose your direction
Release <IMG>VR_TELEPORT<> to teleport to the new location
<TECHNOLOGY>Teleport<>: <TRADEABLE>3<> / <TRADEABLE>3<>}
UI_VR_HINT_TELEPORT2_ALT	{Aim at a new position with your <STELLAR>left<> hand
Use <IMG>TELEPORT_AIM<> to choose your direction
Push <IMG>VR_TELEPORT<> to teleport to the new location}
UI_VR_HINT_TELEPORT2_ALT1	{Choose your new location by moving the controller
Release <IMG>VR_TELEPORT<> to teleport
Rotate <IMG>TELEPORT_AIM<> to change your direction
<TECHNOLOGY>Teleport<>: 0 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT2_ALT2	{Choose your new location by moving the controller
Release <IMG>VR_TELEPORT<> to teleport
Rotate <IMG>TELEPORT_AIM<> to change your direction
<TECHNOLOGY>Teleport<>: 1 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT2_ALT3	{Choose your new location by moving the controller
Release <IMG>VR_TELEPORT<> to teleport
Rotate <IMG>TELEPORT_AIM<> to change your direction
<TECHNOLOGY>Teleport<>: 2 / <STELLAR>3<>}
UI_VR_HINT_TELEPORT2_ALT4	{Choose your new location by moving the controller
Release <IMG>VR_TELEPORT<> to teleport to the new location
Rotate <IMG>TELEPORT_AIM<> to change your direction
<TECHNOLOGY>Teleport<>: <TRADEABLE>3<> / <TRADEABLE>3<>}
UI_VR_HINT_TELEPORT3	{Perform a turn: %CURRENT%/%AMOUNT%
Use <IMG>VR_SNAPLEFT<>/<IMG>VR_SNAPRIGHT<> to change direction}
UI_VR_HINT_EXOCRAFT1	{<STELLAR>Driving the Exocraft<>
Hold <IMG>INTERACT_LEFT<>/<IMG>INTERACT<> and grab the <STELLAR>steering wheel<> with both hands
Hold <IMG>CAR_ACCEL<> to accelerate and <IMG>BRAKE<> to brake}
UI_VR_HINT_EXOCRAFT2	{<STELLAR>Leaving the Exocraft<>
Hold <IMG>INTERACT_LEFT<>/<IMG>INTERACT<> and grab a <TRADEABLE>cockpit handle<> with either hand
Lift the handle to exit}
UI_VR_HINT_INVENTORY	{<STELLAR>Accessing Menus<>
Raise your <STELLAR>left hand<>
Point at it with your <TECHNOLOGY>right hand<>
Point at the desired menu and select with <IMG>QUICK_ACTION<>}
UI_VR_HINT_BUILD_MENU	{<STELLAR>The Build Menu<>
Point at your <STELLAR>left hand<> to access menus
Point at the Build Menu and select with <IMG>QUICK_ACTION<>
Use <IMG>QUICK_ACTION<> to select parts and subcategories }
UI_VR_HINT_INVENTORY_ALT	{<STELLAR>Accessing Menus<>
Point at your <STELLAR>left hand<> to access menus
Point at the <TECHNOLOGY>robot companion<>
Point at the desired menu and select with <IMG>QUICK_ACTION<>}
UI_VR_HINT_SCAN	{<STELLAR>Scanning<>
Point at the side of your <TECHNOLOGY>Multi-Tool<> with your <STELLAR>left hand<>
Point at 'Scan' and select with <IMG>FE_ALTSELECT<>}
UI_VR_HINT_RELOAD	{<STELLAR>Reloading<>
Point at the rear of your <TECHNOLOGY>Multi-Tool<> with your <STELLAR>left hand<>
Point at 'Reload' and select with <IMG>FE_ALTSELECT<>}
UI_NOTIFY_CHANGEWEAPON_VR	{<STELLAR>Changing Multi-Tool Mode<>
Point at the rear of your <TECHNOLOGY>Multi-Tool<> with your <STELLAR>left hand<>
Point at 'Mode' and select with <IMG>FE_ALTSELECT<>}
UI_VR_HINT_BINOCS	{<STELLAR>Using the Analysis Visor<>
Point at the rear of your <TECHNOLOGY>Multi-Tool<> with your <STELLAR>left hand<>
Point at 'Analyse' and select with <IMG>QUICK_ACTION<>
Aim at objects you wish to analyse}
UI_VR_HINT_BINOCS_ALT	{Raise your <STELLAR>left hand<> beside your head, then press <IMG>AIM<> to toggle
Aim at objects with the Multi-Tool and hold <IMG>BINOCSCAN<> to analyse}
UI_VR_REPAIR_TITLE_TEMP1	{Recharge Thermal Protection with Sodium}
UI_VR_REPAIR_TITLE_TOX1	{Recharge Toxic Protection with Sodium}
UI_VR_REPAIR_TITLE_RAD1	{Recharge Radiation Protection with Sodium}
UI_VR_REPAIR_MSG_TEMP1A	{Locate <CATALYST>Sodium<> with the <TECHNOLOGY>Scanner<>
Reach over your shoulder, then press <IMG>VR_HOLSTER<> to pick up your Multi-Tool}
UI_VR_REPAIR_MSG_TOX1A	{Locate <CATALYST>Sodium<> with the <TECHNOLOGY>Scanner<>
Reach over your shoulder, then press <IMG>VR_HOLSTER<> to pick up your Multi-Tool}
UI_VR_REPAIR_MSG_RAD1A	{Locate <CATALYST>Sodium<> with the <TECHNOLOGY>Scanner<>
Reach over your shoulder, then press <IMG>VR_HOLSTER<> to pick up your Multi-Tool}
UI_VR_REPAIR_MSG_TEMP1	{Locate <CATALYST>Sodium<> with the <TECHNOLOGY>Scanner<>
Point at the rear of your <TECHNOLOGY>Multi-Tool<> with your <STELLAR>left hand<>}
UI_VR_REPAIR_MSG_TOX1	{Locate <CATALYST>Sodium<> with the <TECHNOLOGY>Scanner<>
Point at the rear of your <TECHNOLOGY>Multi-Tool<> with your <STELLAR>left hand<>}
UI_VR_REPAIR_MSG_RAD1	{Locate <CATALYST>Sodium<> with the <TECHNOLOGY>Scanner<>
Point at the rear of your <TECHNOLOGY>Multi-Tool<> with your <STELLAR>left hand<>}
UI_VR_REPAIR_MSG_TEMP2	{Locate <CATALYST>Sodium<> with the <TECHNOLOGY>Scanner<>
Point at 'Scan' and select with <IMG>FE_ALTSELECT<>}
UI_VR_REPAIR_MSG_TOX2	{Locate <CATALYST>Sodium<> with the <TECHNOLOGY>Scanner<>
Point at 'Scan' and select with <IMG>FE_ALTSELECT<>}
UI_VR_REPAIR_MSG_RAD2	{Locate <CATALYST>Sodium<> with the <TECHNOLOGY>Scanner<>
Point at 'Scan' and select with <IMG>FE_ALTSELECT<>}
UI_VR_HINT_WEAPON_MODE	{<STELLAR>Weapon Modes<>
Point at the rear of your <TECHNOLOGY>Multi-Tool<> with your <STELLAR>left hand<>
Point at 'Mode' and select with <IMG>FE_ALTSELECT<>}
UI_NOTAKEOFF_NOFUEL_VR	{<FUEL>Not enough fuel in Launch Thruster<>
Hold <IMG>INTERACT_LEFT<> or <IMG>INTERACT<> and grab a <TRADEABLE>cockpit handle<>
Lift the handle to exit}
UI_NOTIFY_TAKEOFF_VR	{Use <IMG>INTERACT_LEFT<> to grip the <STELLAR>throttle<>
Push the throttle forwards to take off
Hold <IMG>INTERACT<> and lift a <TRADEABLE>cockpit handle<> to exit}
UI_NOTIFY_TAKEOFF_VR_ALT	{Point at the <STELLAR>Engine Control<> screen and select 'Take Off' with <IMG>QUICK_ACTION<>
Hold <IMG>INTERACT<> and lift a <TRADEABLE>cockpit handle<> to exit}
UI_NOTIFY_PULSE_VR	{Point at the <STELLAR>Engine Control<> screen
Select 'Pulse Drive' with <IMG>QUICK_ACTION<>}
UI_NOTIFY_SHIPWEAPON_VR	{Point at the <STELLAR>Weapon Systems<> screen
Select 'SWITCH' with <IMG>QUICK_ACTION<>}
