SCAN_NO_TECH	{No scan technology installed}
JUMP_FREIGHTER	{Pulse Engine Unavailable <IMG>SLASH<> Large Ship Proximity}
JUMP_STATION	{Pulse Engine Unavailable <IMG>SLASH<> Space Station Proximity}
JUMP_BLACKHOLE	{Pulse Engine Unavailable <IMG>SLASH<> Extreme Gravitational Interference}
JUMP_NOFUEL	{Pulse Engine Unavailable <IMG>SLASH<> Insufficient Fuel}
JUMP_BADPATH	{Pulse Engine Unavailable <IMG>SLASH<> Unsafe Trajectory}
WARN_HOSTILE	{WARNING - HOSTILE SHIPS ON APPROACH}
WARN_HOSTILE2	{Local distress signal issued}
SENTINELS_INCOMING1	{SENTINEL DRONES ALERTED}
SENTINELS_INCOMING2	{WARNING - SENTINEL REINFORCEMENTS DEPLOYED}
SENTINELS_INCOMING3	{WARNING - SENTINEL COMBAT UNIT DEPLOYED}
SENTINELS_INCOMING4	{WARNING - SENTINEL WALKER DETECTED}
SENTINELS_INCOMING5	{WARNING - ELITE SENTINEL FORCE}
SENTINEL_POLICE_INCOMING	{WARNING - SENTINEL INTERCEPTORS INCOMING}
NEW_TECH	{New technology discovered!}
WPN_NOAMMO	{WEAPON CHARGE DEPLETED}
WPN_NOAMMO_ALT	{NO AMMO IN INVENTORY}
WPN_NOTECH	{No active technology in Multi-tool}
WPN_BROKEN	{%WEAPON% is critically damaged}
WPN_SUPPRESSED	{Multi-Tool Unavailable}
TECH_DAMAGED	{%TECH% critically damaged}
TECH_NEEDS_INSTALL	{%TECH% requires installation}
RELOAD	{RELOAD}
OVERHEAT	{OVERHEAT}
LEARNED_WORD	{You have learned the %RACE% word for '%WORD%'}
INTERACTION_COST	{%COST% %RESOURCE% required}
CHECK_STOCK	{Purchase Multi-tool}
SHOP_TRADEFROMSUIT	{Sell inventory items on the Galactic Network}
SHOP_DESC	{Welcome to the Galactic Trade Network}
SHOP_LANG	{Accessing Atlas traveller link.
Remote inventory sync initialised.

Standing by for user request...}
SHIP_OUT_OF_RANGE	{Starship out of range}
SHIP_TELEPORT_RANGE	{Item Teleportation Enabled}
INDEFINITE	{Indefinite}
UNDISCOVERED	{Undiscovered}
ARRIVE_IN	{Arrive in}
DISCOVERED_BY	{Discovered by:}
PLANET_NAME	{Planet name:}
DISTANCE	{Distance:}
INFORMATION	{INFORMATION}
CONTROL_SETTINGS	{CONTROL SETTINGS}
CONTROL_MODE	{Control Mode: %MODE%}
CONTROL_NORMAL	{Normal}
CONTROL_FLIGHT_INV	{Flight Stick}
CONTROL_ALL_INV	{Inverted}
INTERACT	{INTERACT}
INTERACT_PROMPT	{Interact}
BEACON_RECORDS_AVAIL	{Records Available...}
BEACON_RECORDS_NONE	{Trader Contact Request}
INTERACT_EMPTY	{Empty}
COMMON	{Common}
UNCOMMON	{Uncommon}
RARE	{Rare}
EXPLORER_PREFIX	{Entity Shell}
STRUCTURE_OUTPOST	{Outpost}
STRUCTURE_RUIN	{Ruins of}
CONSUMABLE	{CONSUMABLE}
REFINED	{Refined}
ALLOY	{Alloy}
CONTRABAND	{Contraband}
CREATURES	{CREATURES}
HUD_JUMPING	{Pulse Engine Active}
HUD_JUMP_ENGAGE	{Engaging Pulse Engine}
HUD_SCANNING	{Analysing...}
HUD_DISCOVERED_BY	{Discovered by:}
HUD_RELOAD	{RELOAD...}
HUD_SHIELD	{SHIELD}
COMMODITY	{oxide}
TECHNOLOGY	{silicate}
FUEL	{isotope}
INTERACT_SHOOT	{Destroy}
TECH_REPAIRED	{%TECH% repaired}
WPN_CHANGE	{%WEAPON% selected}
BINOC_NO_TECH	{No Analysis Visor installed}
BINOC_BROKEN	{Analysis Visor is critically damaged}
WEATHER_WARN	{WEATHER WARNING: INCOMING STORM}
WEATHER_WARN_LUSH	{WEATHER WARNING: SUPERHEATED RAINSTORM APPROACHING}
WEATHER_WARN_HOT	{WEATHER WARNING: INCOMING FIRESTORM DETECTED}
WEATHER_WARN_COLD	{WEATHER WARNING: INCOMING BLIZZARD DETECTED}
WEATHER_WARN_TOXIC	{WEATHER WARNING: TOXIC RAINSTORM APPROACHING}
WEATHER_WARN_RADIO	{WEATHER WARNING: RADIOACTIVE SUPERCELL APPROACHING}
WEATHER_OVER	{WEATHER UPDATE: STORM CLEARING}
SUBSTANCE	{Substance}
PRODUCT	{Product}
DEATH_COLLECT	{Restoring lost inventory}
DEATH_MARKER	{Grave}
METRES	{%DISTANCE%m}
HUD_UNDISCOVERED	{Undiscovered}
DISC_HUD_PLANET_TITLE	{%TYPE% - %PLANET%}
DISC_HUD_PLANET_SUBTITLE	{%INFO% Planet - %DISCOVERER%}
NOOXYGEN_L	{Oxygen}
EXTREMECOLD_L	{Extreme Cold}
EXTREMEHEAT_L	{Extreme Heat}
RADIATION_L	{Radiation}
TOXICGAS_L	{Toxic Rain}
SHIP_MARKER	{YOUR STARSHIP}
SHIP_MARKER_L	{Your Starship}
DEATH_VOLUNTARY	{Life became too hard}
STAT_MESSAGES_TITLE	{JOURNEY MILESTONE ACCOMPLISHED}
DISC_HUD_MOON_SUBTITLE	{%INFO% Moon - %DISCOVERER%}
HUD_JUMP_FUEL	{Fuel Remaining}
NEW_PRODUCT	{New product formula learned!}
LOCKED_DOOR	{Locked Door}
DISC_TYPE_MOON	{Moon}
DISC_TYPE_PLANET	{Planet}
DISC_TYPE_SYSTEM	{System}
DISC_HUD_SYSTEM_TITLE	{System - %SYSTEM%}
NEW_GALAXY	{New Galaxy Discovered}
NEW_PLANET	{New Planet Discovered}
NEW_SOLAR	{New Star System Discovered}
SOLAR_SYSTEM	{Star System}
PLANET	{Planet}
MOON	{Moon}
GALACTIC_CENTRE	{Galactic Centre}
BLACK_HOLE	{Black Hole}
ATLAS_STATION	{Atlas Interface}
ATLAS_STATION_DISC	{Atlas Interface Discovered}
BLACK_HOLE_DISC	{Black Hole Discovered}
ANOMALY_DETECT	{Anomaly Detected}
SIGNAL_DISRUPT	{Signal Boosters Disrupted}
BLACK_HOLE_SUCCESS	{Black Hole Warp Successful. Distance Travelled %DISTANCE%}
RELIC_GATE_SUCCESS	{Ancient Warp Pathway Successful. Distance Travelled %DISTANCE%}
VALUE_UNITS	{Units}
ENERGY	{Energy}
BATTLE_MARKER	{DISTRESS SIGNAL}
BOUNTY_MARKER	{BOUNTY %AMOUNT%}
BATTLE_ALERT	{Battle detected}
BATTLE_GAL_BLOCK	{Hyperdrive offline - Local enemy disruption}
PATCH1_TITLE	{Patch Notes}
PATCH1_NOTES	{Update 1.03 
Hello Games has been hard at work to improve No Man's Sky. 

We've had to regenerate the universe.

NOTE! Your in-game location may be adjusted as a result. Your overall progress will be unaffected.

* Terrain is more weird and varied. Destruction is more powerful.
* LOD generation entirely asynchronous.
* Scanning from space now possible.
* Extreme hazardous planets may now be generated. Please exercise caution upon planetfall. 
* Low atmosphere planets may now be generated.
* Tuned frequency and intensity of space conflict. Ship bounties added. Expect trouble.
* Streamlined inventory management.
* Guidance and freedom are now optional.
* More secrets.

Going to sleep now.}
NO_TARGET	{No Target}
BUILDING_ATLAS	{ATLAS INTERFACE}
BUILD_PROD	{CRAFT PRODUCT}
BUILD_PROD_DESC	{Create a useful, or valuable, material}
BUILD_TECH	{INSTALL TECHNOLOGY}
BUILD_TECH_DESC	{Create a new tech to upgrade your equipment}
BUILD_WEAP_DESC	{Create multi-tool upgrades and improvements}
BUILD_SHIP_DESC	{Create a new tech to upgrade your starship}
TRANSFER	{TRANSFER ITEMS}
TRANSFER_DESCSH	{Transfer elements between your starship and exosuit inventory}
TRANSFER_DESC	{Teleport elements carried in your exosuit inventory to your starship}
TRANSFER_FAIL	{TRANSFER ABORTED - STARSHIP PROXIMITY ERROR}
EMPTY_SLOT	{MODIFY}
BLDBUT_TECH	{Build technology using elements stored in exosuit inventory}
BLDBUT_PROD	{Build product using elements stored in exosuit inventory}
BLDBUT_NO	{Insufficient element resources}
BUILD	{BUILD}
BUILD_TITLE	{Build}
CONSOLE_TITLE	{raljar@stationmain “ $ pwd}
TRADE_SUIT	{Trade items from your exosuit inventory}
TRADE_SHIP	{Sell cargo and technology from your starship}
BUY_SHIP	{BUY THE STARSHIP}
SHOP_DECLINE	{DECLINE PURCHASE}
CHARGE	{CHARGE}
CHARGE_DESC	{Charge equipment with %TYPE%}
CHARGE_DESC_SHORT	{Charge equipment}
SHIP_SUBTITLE	{Manage Starship Inventory with <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>}
SUIT_TITLE	{EQUIPMENT}
SUIT_SUBTITLE	{Manage Exosuit Inventory with <IMG>QUICK_LEFT<>/<IMG>QUICK_RIGHT<>}
WEAP_SUBTITLE	{Install technology companion units and charge ammunition clips}
SHIP_SUB_OLD	{Install technology and manage your starship's cargo}
SUIT_SUB_OLD	{Install technology and manage your exosuit inventory}
WEAP_SUB_OLD	{Install technology companion units and charge ammunition clips}
DISCOVERY_SUBTITLE	{Traveller registry of creature encounters}
DISCOVERY_TITLE	{Atlas Discovery Network}
OFFERING	{MAKE AN OFFERING}
COMPARE	{COMPARE}
DLG_OFFER_ACCEPT	{THE STRANGER SEEMS PLEASED WITH YOUR OFFER.}
DLG_OFFER_REJECT	{THE STRANGER IS NOT IMPRESSED.}
OFFER	{OFFER}
OFFER_DESC	{Choose something to offer the stranger}
REQUIREMENTS	{Requirements}
BUILD_MORE	{Build more using}
DISMANTLE	{DISMANTLE}
DISMANTLE_DESC	{Disassemble to increase capacity and gain resources}
DISCARD	{DISCARD}
DISCARD_DESC	{Destroy unwanted resources}
DISC_RENAME	{RENAME}
DISC_RENAME_DESC	{Name your discovery}
DISC_RENAMEUPLOAD	{RENAME AND UPLOAD}
DISC_VIEW	{VIEW}
DISC_VIEW_DESC	{View all information gathered on this planet}
DISC_SET_WAYPNT	{SET WAYPOINT}
DISC_SET_WAYPNT_DESC	{Set waypoint on your galactic map}
DISC_DETAILS	{Discovery Details}
DISC_UPLOAD	{UPLOAD}
DISC_UPLOAD_DESC	{Upload discovery to receive %REWARD% Units}
DISC_UPLOAD_DESC_NANITES	{Upload discovery to receive %REWARD% Nanite Clusters}
DISC_UPLOADED	{Discovery uploaded}
DISC_UPLOADED_CREDIT	{Discovery uploaded. %REWARD% Units received.}
DISC_UPLOADED_CREDIT_NANITES	{Discovery uploaded. %REWARD% Nanite Clusters received.}
DISC_HEIGHT	{Height}
DISC_WEIGHT	{Weight}
DISC_SOLARSYSTEM	{Solar System}
DISC_ON	{Discovered on}
DISC_MADE_ON	{Discovery made on %DATE%}
DISC_PLANET_TITLE	{Star Systems}
DISC_INFO_TITLE	{Records}
DISC_DISCOVERIES_TITLE	{Discoveries}
DISC_LOG_TITLE	{Star Log}
DISC_DAY_TITLE	{Day %DAY%}
DISC_NO_LOCAL_PLANET	{No Planet In Local Vicinity}
DISC_DISC_BY	{Discovered by: %USER%}
DISC_WAYPOINT_TITLE	{Waypoints Discovered}
DISC_SYSTEM_LABEL	{SYSTEM - %SYSTEM%}
DISC_PLANET_LABEL	{PLANET - %PLANET%}
PLANET_DIST_STAT	{Distance From Centre Of The Galaxy}
PLANET_DISC_ON_STAT	{First Discovered}
PLANET_DISC_BY_STAT	{Discovered by}
PLANET_BIOME_STAT	{Biome}
BIO_UNKNOWN	{Unknown}
BIO_LUSH	{Lush}
BIO_TOXIC	{Toxic}
BIO_SCORCHED	{Scorched}
BIO_RADIOACTIVE	{Radioactive}
BIO_FROZEN	{Frozen}
BIO_BARREN	{Barren}
SUBSTANCE_MINERAL	{Oxide}
SUBSTANCE_SILICATE	{Silicate}
SUBSTANCE_ENERGY	{Isotope}
SUBSTANCE_STEEL	{Reinforced}
LASER	{LASER}
PROJECTILE	{PROJECTILE}
GRENADE	{GRENADE}
SCAN	{SCAN}
UI_SCAN_L	{Scan}
WEAPONS	{WEAPONS}
UI_WEAPONS_L	{Weapons}
ARMOUR	{HEALTH}
UI_ARMOUR_L	{Health}
HYPERDRIVEX	{HYPERDRIVE}
UI_HYPERDRIVE_L	{Hyperdrive}
SUIT	{EXOSUIT}
WEAPON	{MULTI-TOOL}
SHIP	{STARSHIP}
DISCOVERIES	{DISCOVERIES}
OPTIONS	{OPTIONS}
RETURN	{RETURN}
PROTECTION	{PROTECTION}
STAMINA	{STAMINA}
UTILITIES	{UTILITIES}
GLXY_REGION	{REGION}
GLXY_PLANET_COUNT	{%i PLANET}
GLXY_PLANET_COUNT_PL	{%i PLANETS}
GLXY_IN_ORBIT	{IN ORBIT}
GLXY_SPECTRAL	{SPECTRAL}
GLXY_DIST_LIGHTYE	{%DISTANCE% LIGHTYEARS}
GLXY_LINEAR_DIST	{LINEAR DISTANCE}
GLXY_REQ_FUEL	{FUEL REQUIRED}
GLXY_CANT_WARP	{WARP IMPOSSIBLE}
GLXY_ERR_FUEL	{HYPERDRIVE HAS NO FUEL}
GLXY_ERR_NO_WARP	{NO HYPERDRIVE INSTALLED}
GLXY_ERR_AT_LOC	{Current Location}
GLXY_VALID_JUMP	{WARP COMPUTATION VALIDATED}
GLXY_VALID_JUMP_DESC	{PRESS TO ACCEPT}
GLXY_ERR_DEFAULT	{WARP COMPUTATION}
GLXY_ERR_DEFAULT_DESC	{UNKNOWN ERROR}
GLXY_DESC_DISCOV	{DISCOVERED %USER% BY}
GLXY_DESC_NO_REC	{NO RECORDS FOUND}
GLXY_DESC_UNDIS	{Undiscovered}
GLXY_DESC_ERR_TITLE	{Discovery Status Unknown}
GLXY_DESC_ERR_DESC	{NETWORK CONNECTION UNAVAILABLE}
YELLOW	{Yellow}
GREEN	{Green}
BLUE	{Blue}
RED	{Red}
TRADE_COST_PER	{%COST% per piece (%VARIANCE% Galactic Avg.)}
TRADE_SELL_TO	{Sell item to the Trade Network}
TRADE_SELL_FOR	{SELL %AMOUNT% for %PRICE% UNITS}
REPAIR	{REPAIR}
REPAIR_TITLE	{Repair}
REPAIR_DESC	{Repair this technology}
HEALTH	{Health}
UNITS	{Get units}
STANDING	{Increase standing}
HAZARD	{Protection}
BLUEPRINT	{Get blueprint}
NEXT_PAGE	{NEXT PAGE}
PREV_PAGE	{PREV PAGE}
TRADE_BUY	{Buy items from the Galactic Trade Network}
TRADE_SELL	{Sell items from your inventories}
TRADE_SUIT_INVENTORY	{EXOSUIT INVENTORY}
TRADE_SHIP_INVENTORY	{STARSHIP INVENTORY}
TRADE_FREIGHT_INVENTORY	{FREIGHTER INVENTORY}
TRADE_BUY_FOR	{BUY %AMOUNT% for %PRICE% UNITS}
TRADE_BUY FROM	{Buy item from the trade network}
BIO_DAMAGE_TOXIC	{TOXIC RAIN}
BIO_DAMAGE_SCORCHED	{INTENSE HEAT}
BIO_DAMAGE_RADIOACTIVE	{RADIATION}
BIO_DAMAGE_FROZEN	{INTENSE COLD}
SUBSTANCE_MINERAL_U	{OXIDE}
SUBSTANCE_SILICATE_U	{SILICATE}
SUBSTANCE_ENERGY_U	{ISOTOPE}
CHARGE_TITLE	{CHARGE}
CHARGE_SUBTITLE	{Collect %SUBSTANCE% to charge up your %TECH%}
OPEN_INVENTORY_PROMPT	{Press <IMG>INVENTORY<> to open Inventory}
AMOUNT_OF_MAX	{%AMOUNT% of %MAX%}
INVENTORY	{%TYPE% INVENTORY}
PRODUCTS_ALL	{ALL PRODUCTS}
TECH_ALL	{ALL TECHNOLOGY}
SUBSTANCE_MINERAL_INTRCT	{<COMMODITY>Oxide<>}
SUBSTANCE_SILICATE_INTRCT	{<TECHNOLOGY>Silicate<>}
SUBSTANCE_ENERGY_INTRCT	{<FUEL>Isotope<>}
PRODUCT_REQ	{Craft products in inventory slots}
SUBSTANCE_REQ	{Gather elements}
PRODUCT_REQ_TITLE	{Required Parts}
OPTIONS_R1	{Melee <IMG>MELEE<>}
OPTIONS_R2	{Fire <IMG>ATTACK<>}
OPTIONS_R3	{Zoom Analysis Visor <IMG>ZOOM<>}
OPTIONS_L1	{<IMG>ALTATTACK<> Fire Grenade}
OPTIONS_L2	{<IMG>AIM<> Analysis Visor}
OPTIONS_L3	{<IMG>RUN<> Sprint}
OPTIONS_OPTIONS	{<IMG>INVENTORY<> Open Inventory}
OPTIONS_TOUCHPAD	{<IMG>INVENTORY<> Galactic Map}
OPTIONS_SQUARE	{Interact <IMG>INTERACT<>}
OPTIONS_CIRCLE	{Scan <IMG>SCAN<>}
OPTIONS_X	{Activate Jetpack <IMG>JUMP<>}
OPTIONS_CYCLEWEAPON	{Switch Multi-Tool mode <IMG>CYCLEWEAPON<>}
OPTIONS_LEFTSTICK	{<IMG>MOVE<> Move}
OPTIONS_RIGHTSTICK	{Look <IMG>LOOK<>}
NAMEGEN_SUFFIX_REGION_1	{%NAME% Adjunct}
NAMEGEN_SUFFIX_REGION_2	{%NAME% Void}
NAMEGEN_SUFFIX_REGION_3	{%NAME% Expanse}
NAMEGEN_SUFFIX_REGION_4	{%NAME% Terminus}
NAMEGEN_SUFFIX_REGION_5	{%NAME% Boundary}
NAMEGEN_SUFFIX_REGION_6	{%NAME% Fringe}
NAMEGEN_SUFFIX_REGION_7	{%NAME% Cluster}
NAMEGEN_SUFFIX_REGION_8	{%NAME% Mass}
NAMEGEN_SUFFIX_REGION_9	{%NAME% Band}
NAMEGEN_ADORN_1	{%NAME% Prime}
NAMEGEN_ADORN_2	{%NAME% Major}
NAMEGEN_ADORN_3	{%NAME% Minor}
NAMEGEN_ADORN_4	{New %NAME%}
GLXY_ANALYSIS_RESULT	{ANALYSIS}
GLXY_PUSH_NAV	{<IMG>GALAXYMOVE<> ROTATE <GAP><IMG>LOOK<> PUSH SELECT}
GLXY_DESELECT	{<IMG>DESELECT<> DESELECT}
GLXY_ROUTE_CORE	{Path towards galactic core}
GLXY_ROUTE_WAYPOINT	{Path towards waypoint}
GLXY_ROUTE_FREE	{Free exploration mode}
GLXY_ANALYSIS_PLANETS	{%i Planet}
GLXY_ANALYSIS_PLANETS_PL	{%i Planets}
GLXY_ANALYSIS_BLACKHOLE	{CAUTION - Black hole detected}
GLXY_ANALYSIS_ATLAS	{Anomalous energy signature detected}
GLXY_ANALYSIS_SPECTRAL	{Class %PROCSPEC%}
GLXY_SELECT	{<IMG>SELECT<> SELECT <GAP><IMG>GALAXYHOME<> LOCATION <GAP><IMG>DESELECT<> EXIT MAP}
GLXY_LOOK	{<IMG>GALAXYMOVE<> FLY <GAP><IMG>ACCELERATE<> ACCELERATE <GAP><IMG>LOOK<> LOOK}
GLXY_DISCOVERY_TITLE	{DISCOVERED BY}
GLXY_DISCOVERY_DATA	{%USERNAME% on %DATE%}
GLXY_SET_WAYPOINT	{SET WAYPOINT}
GLXY_CLEAR_WAYPOINT	{CLEAR WAYPOINT}
GLXY_DISTANCE_LY	{%DISTANCE% Light-years}
MOON_DESC	{Moon of %PLANET%}
CONTAINER_LABEL	{Container}
CONTAINER_LABEL_SUB	{Reinforced}
ASTEROID_LABEL	{Asteroid}
ASTEROID_LABEL_SUB	{Elements}
NPC_TRADER_BUY_SHIP	{Make an offer on the lifeform's starship}
NPC_TRADER_SELL_ITEMS	{Sell items to the lifeform}
NPC_TRADER_BUY_ITEMS	{Buy items from the lifeform}
TURRET_LABEL	{Defence Turret}
TURRET_LABEL_SUB	{Reinforced}
SUBSTANCE_TRADE_U	{NEUTRAL}
SUBSTANCE_TRADE	{Neutral}
SUBSTANCE_TRADE_INTRCT	{<TRADE>Neutral<>}
SUIT_BOOT_MSG	{Begin Initialisation?}
GLXY_DESELECT_OR_WARP	{<IMG>SELECT<> WARP <GAP><IMG>DESELECT<> DESELECT}
GLXY_WAYPOINT_TITLE	{NAVIGATION SYSTEMS}
GLXY_WAYPOINT_ADD	{ADD WAYPOINT}
GLXY_WAYPOINT_CLEAR	{REMOVE WAYPOINT}
GLXY_WAYPOINT_CLEAR_ALL	{REMOVE ALL WAYPOINTS}
GLXY_WAYPOINT_TOOMANY	{Waypoint Limit Reached}
MINERAL_SUFFIX	{ite}
BUY	{BUY}
TRADE_BUY_PRICE	{Buy %AMOUNT% for <COMMODITY>%PRICE%<> units}
TRADE_SELL_PRICE	{Sell %AMOUNT% for <COMMODITY>%PRICE%<> units}
TRADE_INV_FULL	{Full}
TRADE_INV_EMPTY	{Inventory Empty}
PLAYER_MONEY_TITLE	{Units}
PRESENCE_DOCKED	{Docked in %PLACE_NAME%}
PRESENCE_EXPLORE	{Exploring %PLACE_NAME%}
PRESENCE_SPACE	{Flying through %SYSTEM_NAME%}
DISC_REPORT_DESC	{Report this discovery as offensive or inappropriate}
DISC_REPORT	{REPORT}
DISC_HIDE_DESC	{Hide this discovery}
DISC_HIDE	{HIDE}
GAME_OPTIONS	{GAME OPTIONS}
VOLUNTARY_DEATH_OPTION	{Restore to last save}
DISC_OWNER_HIDDEN_TIME	{Discovered on %DATETIME%}
DISC_OWNER_HIDDEN	{Discovered}
DISC_OWNER_NORMAL	{Discovered by %USERNAME%}
DISC_OWNER_NORMAL_TIME	{Discovered by %USERNAME% on %DATETIME%}
DISC_OWNER_NONE	{Undiscovered}
DISC_OWNER_IS_PLAYER	{You discovered this}
DISC_OWNER_IS_PLAYER_TIME	{You discovered this on %DATETIME%}
DISC_OWNER_PLAYER_CM	{You}
DISC_OWNER_PLAYER_CM_TIME	{You, on %DATETIME%}
NET_OFFLINE	{You have lost connection to online discovery services, press <IMG>DISNETRETRY<> to reconnect}
NET_IN_PROGRESS	{Connecting to Online Discovery Services}
NET_ONLINE	{Online Discovery Services Active}
NET_UNAVAILABLE	{You have lost connection to online discovery services}
NET_TITLE	{Network warning}
GLXY_ANALYSIS_MOON	{%i Moon}
GLXY_ANALYSIS_MOON_PL	{%i Moons}
GLXY_ANALYSIS_CENTER	{???????}
GLXY_CENTER_NAME	{Galaxy Centre}
GLXY_CENTER_REGION	{Unknown}
CANT_SAVE_WANTED	{You can't save}
PIRATE_PROBE	{Hostile sub-space scan detected}
PIRATE_PROBE_SUCCESS	{Hostile sub-space scan found valuable cargo}
PIRATE_PROBE_FAIL	{Hostile sub-space scan failed}
PIRATES_BATTLE_JOINED	{Engaging Attack Ships}
TRANSFER_DESC_TRADE	{Transfer elements between inventories}
NET_ATTEMPTING	{Attempting Connection...}
NET_ATTEMPT_FAIL	{Unable To Connect}
TRADE_EMPTY	{Empty}
NEW_SUIT_SLOT	{Install New Suit Slot}
JOURNEY_TITLE	{JOURNEY MILESTONES}
JOUR_TOT_TITLE	{Total Journey Milestones accomplished:}
JOUT_NXT_MILESTONE	{Progress to next Milestone: %CURRENT% / %NEXT%}
PIN_RECIP	{PIN}
PIN_RECIP_DESC	{Pin formula}
PRODUCT_REQUIRED	{%PRODUCT% Required}
GLXY_CENTER_DIST	{DISTANCE TO CENTRE}
UNPIN_RECIP	{Unpin formula}
OPT_TOUCH_TXT	{<IMG>INVENTORY<> Inventory}
OPT_L2_TXT	{<IMG>AIM<> Vision Enhancer}
OPT_L1_TXT	{<IMG>ALTATTACK<> Fire Grenade}
OPT_DDOWN_TXT	{<IMG>QUICK_MENU<> Galactic Map}
OPT_L3_TXT	{<IMG>SHOWHUD<> Show HUD}
OPT_LS_TXT	{<IMG>MOVE<> Move}
OPT_OPTIONS_TXT	{Discoveries/Options <IMG>OPTIONS<>}
OPT_R2_TXT	{Fire <IMG>ATTACK<>}
OPT_R1_TXT	{Melee <IMG>MELEE<>}
OPT_TRIANGLE_TXT	{Switch Weapon Mode <IMG>CYCLEWEAPON<>}
OPT_CIRCLE_TXT	{Scan <IMG>SCAN<>}
OPT_CROSS_TXT	{Activate Jetpack <IMG>JUMP<>}
OPT_SQUARE_TXT	{Interact <IMG>INTERACT<>}
OPT_R3_TXT	{Sprint <IMG>RUN<>}
OPT_RS_TXT	{Look <IMG>LOOK<>}
TELEPORT	{TELEPORT ITEMS}
GLXY_TUT_INVALID_JUMP	{ANOMALOUS SIGNAL BLOCKING WARP}
SENTINELS_ARRIVED	{Sentinels Arrived}
SENTINELS_EVADED	{Sentinel Force Deactivated}
SENTINEL_POLICE_ALERTED	{Sentinel Starships Incoming}
SENTINEL_POLICE_ARRIVING	{Sentinel Starships in Combat Range}
CURIOSITY	{CURIOSITY}
COMPONENT	{COMPONENT}
DEVICE	{DEVICE}
GENERIC_ITEM	{ITEM}
GENERIC_OBJECT	{OBJECT}
SUBSTANCE_SPECIAL_U	{EXOTIC}
SUBSTANCE_SPECIAL	{Exotic}
SUBSTANCE_SPECIAL_INTRCT	{<SPECIAL>Exotic<>}
DISC_UPLOAD_AMOUNT	{%AMOUNT% Units %CLASS% Discovery Uploaded}
WARN_TECH_DAMAGED	{This technology is critically damaged}
TELEPORT_VERB	{TELEPORT}
OPTS_REVERT_TO_CURRENT	{Reload current [ %TIMESTAMP% ]}
OPTS_NO_CURRENT_SAVE	{Current : No Data}
OPTS_REVERT_TO_PREV	{Reload previous [ %TIMESTAMP% ]}
OPTS_NO_PREVIOUS_SAVE	{Previous : No Data}
OPTS_SAVEGAMES	{SAVED GAME DATA}
OPTS_PHOTOMODE_ON	{Remove HUD : On}
OPTS_PHOTOMODE_OFF	{Remove HUD : Off}
PROC_FLAVOUR_MONOLITH_1	{Ashes of the %PROCNAME%}
PROC_FLAVOUR_MONOLITH_2	{Legacy of %PROCNAME%}
PROC_FLAVOUR_MONOLITH_3	{%PROCNAME% Landmark}
PROC_FLAVOUR_MONOLITH_4	{Memories of %PROCNAME%}
PROC_FLAVOUR_MONOLITH_5	{Remnants of %PROCNAME%}
PROC_FLAVOUR_MONOLITH_6	{The %PROCNAME% Fragment}
PROC_FLAVOUR_MONOLITH_7	{Ruins of %PROCNAME%}
PROC_FLAVOUR_MONOLITH_8	{Tribute to %PROCNAME%}
